courses_id,text,
5,Understand the important considerations for proper database design,"INSERT INTO learning_objectives (courses_id,text) VALUES (5,""Understand the important considerations for proper database design"");"
6,Basic Dataframe operations (Python and R),"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Basic Dataframe operations (Python and R)"");"
6,Clone a repo on GitHub,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Clone a repo on GitHub"");"
6,Confidently work in an appropriate programming environment (IDE),"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Confidently work in an appropriate programming environment (IDE)"");"
6,Confidently write a class and call its methods to simulate a scenario,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Confidently write a class and call its methods to simulate a scenario"");"
6,Confidently write and call functions in both Python and R,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Confidently write and call functions in both Python and R"");"
6,Correctly pass parameters and retrieve function output(s),"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Correctly pass parameters and retrieve function output(s)"");"
6,"Data structures (e.g., sequences and collections: set, list, dict, tuple)","INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Data structures (e.g., sequences and collections: set, list, dict, tuple)"");"
6,Demonstrate how methods are inherited from base classes,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Demonstrate how methods are inherited from base classes"");"
6,"Essential primitives (e.g., bool, int, float)","INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Essential primitives (e.g., bool, int, float)"");"
6,Find and utilize resources including online documentation,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Find and utilize resources including online documentation"");"
6,"I/O: at least three different formats, including csv, txt, JSON","INSERT INTO learning_objectives (courses_id,text) VALUES (6,""I/O: at least three different formats, including csv, txt, JSON"");"
6,Identify and utilize primitive data types and data structures [Built in],"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Identify and utilize primitive data types and data structures [Built in]"");"
6,Import data into a Pandas Dataframe,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Import data into a Pandas Dataframe"");"
6,Incorporating some exception handling,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Incorporating some exception handling"");"
6,"NumPy, Pandas (essentials)","INSERT INTO learning_objectives (courses_id,text) VALUES (6,""NumPy, Pandas (essentials)"");"
6,Patch/debug broken code,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Patch/debug broken code"");"
6,Patch/debug code using in-line testing and unit testing (advanced),"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Patch/debug code using in-line testing and unit testing (advanced)"");"
6,"Perform sensitivity analysis on functions (e.g., changing inputs and measuring impact on outputs)","INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Perform sensitivity analysis on functions (e.g., changing inputs and measuring impact on outputs)"");"
6,Perform simple mathematical calculations (Python and R),"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Perform simple mathematical calculations (Python and R)"");"
6,R: Apply the Tidyverse Pipe operator to aggregate data,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""R: Apply the Tidyverse Pipe operator to aggregate data"");"
6,"R: Apply the Tidyverse verbs, such as: select(), filter(), arrange(), mutate(), summarize()","INSERT INTO learning_objectives (courses_id,text) VALUES (6,""R: Apply the Tidyverse verbs, such as: select(), filter(), arrange(), mutate(), summarize()"");"
6,R: data types,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""R: data types"");"
6,R: Demonstrate use of element-wise operations,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""R: Demonstrate use of element-wise operations"");"
6,"R: essential built-in functions like head(), tail(), rbind(), table(), summary(), str()","INSERT INTO learning_objectives (courses_id,text) VALUES (6,""R: essential built-in functions like head(), tail(), rbind(), table(), summary(), str()"");"
6,R: get started in RStudio and navigate around,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""R: get started in RStudio and navigate around"");"
6,R: save code in an R script,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""R: save code in an R script"");"
6,R: vectorization,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""R: vectorization"");"
6,Read and Write to and from various data formats,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Read and Write to and from various data formats"");"
6,Read code on GitHub,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Read code on GitHub"");"
6,Select and apply an appropriate data structure based on the problem requirements,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Select and apply an appropriate data structure based on the problem requirements"");"
6,Use a program API to utilize existing functions (e.g. assert statements.),"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Use a program API to utilize existing functions (e.g. assert statements.)"");"
6,"Using program API to utilize existing functions (e.g. sorting, searching, assert statements, etc.)","INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Using program API to utilize existing functions (e.g. sorting, searching, assert statements, etc.)"");"
6,Utilize and implement add-on numerical packages to augment existing data structures,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Utilize and implement add-on numerical packages to augment existing data structures"");"
6,Write robust code by implementing the basic principles of program testing and debugging,"INSERT INTO learning_objectives (courses_id,text) VALUES (6,""Write robust code by implementing the basic principles of program testing and debugging"");"
7,Execute distributed computing frameworks using MapReduce and Spark ,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Execute distributed computing frameworks using MapReduce and Spark "");"
7,"Demonstrate knowledge of applications for big data storage, retrieval, processing, and modeling using Amazon AWS, Hive, and others from the Hadoop ecosystem ","INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Demonstrate knowledge of applications for big data storage, retrieval, processing, and modeling using Amazon AWS, Hive, and others from the Hadoop ecosystem "");"
7,"Implement PySpark for prevalent data science tasks, including data analysis and machine learning","INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Implement PySpark for prevalent data science tasks, including data analysis and machine learning"");"
7,Execute an end-to-end predictive modeling project using a large dataset,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Execute an end-to-end predictive modeling project using a large dataset"");"
7,"Delineate Spark basic architecture and functionality.
","INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Delineate Spark basic architecture and functionality.
"");"
7,Apply RDDs and Pair RDDs in data analysis tasks,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Apply RDDs and Pair RDDs in data analysis tasks"");"
7,Apply DataFrames in data analysis tasks,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Apply DataFrames in data analysis tasks"");"
7,Apply Spark SQL to data analysis tasks,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Apply Spark SQL to data analysis tasks"");"
7,Demonstrate how to preprocess data in PySpark,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Demonstrate how to preprocess data in PySpark"");"
7,Identify the basics of the MLlib library in PySpark,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Identify the basics of the MLlib library in PySpark"");"
7,Implement classification models in MLlib,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Implement classification models in MLlib"");"
7,Identify the statistics functionality in MLlib,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Identify the statistics functionality in MLlib"");"
7,Implement regression models in MLlib,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Implement regression models in MLlib"");"
7,Examine the alternating least squares algorithm,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Examine the alternating least squares algorithm"");"
7,Implement recommender systems in PySpark using collaborative filtering,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Implement recommender systems in PySpark using collaborative filtering"");"
7,Execute the feature utilities package in ML,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Execute the feature utilities package in ML"");"
7,Construct machine learning pipelines,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Construct machine learning pipelines"");"
7,Apply dimension reduction techniques using PySpark,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Apply dimension reduction techniques using PySpark"");"
7,Execute model selection and tuning in PySpark,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Execute model selection and tuning in PySpark"");"
7,Distinguish the use and benefits of accumulators and broadcast variables,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Distinguish the use and benefits of accumulators and broadcast variables"");"
7,Build machine learning tools for the supervised learning task,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Build machine learning tools for the supervised learning task"");"
7,Use hyperparameter tuning in Spark,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Use hyperparameter tuning in Spark"");"
7,Understand the concepts behind HDFS,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Understand the concepts behind HDFS"");"
7,Understand the concepts behind Hive.,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Understand the concepts behind Hive."");"
7,Have some familiarity with running PySpark in a Databricks notebook,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Have some familiarity with running PySpark in a Databricks notebook"");"
7,"Understand how EC2 and S3 are used for computing and storage, respectively","INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Understand how EC2 and S3 are used for computing and storage, respectively"");"
7,Demonstrate the steps for configuring and launching an AWS EC2 instance,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Demonstrate the steps for configuring and launching an AWS EC2 instance"");"
7,Understand the capabilities of Amazon Glue and Athena,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Understand the capabilities of Amazon Glue and Athena"");"
7,Understand the concepts and use cases behind Apache Kafka,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Understand the concepts and use cases behind Apache Kafka"");"
7,Create and configure an Amazon S3 bucket,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Create and configure an Amazon S3 bucket"");"
7,Apply the concepts behind streaming systems,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Apply the concepts behind streaming systems"");"
7,Execute the Spark Streaming library,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Execute the Spark Streaming library"");"
7,Compute analytics using Spark Streaming,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Compute analytics using Spark Streaming"");"
7,Explain the properties of data lakes and data lakehouses,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Explain the properties of data lakes and data lakehouses"");"
7,"Explain the shortcomings of data lakes, and how data lakehouses address these shortcomings","INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Explain the shortcomings of data lakes, and how data lakehouses address these shortcomings"");"
7,"Work with Apache Delta lakes to implement their salient features (create, delete, update, conditional update, time travel)","INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Work with Apache Delta lakes to implement their salient features (create, delete, update, conditional update, time travel)"");"
7,Implement GraphX and GraphFrames in Spark,"INSERT INTO learning_objectives (courses_id,text) VALUES (7,""Implement GraphX and GraphFrames in Spark"");"
8,Recognize how to get help with coding in a way that is accurate and efficient while demonstrating how to be a good citizen in online forums,"INSERT INTO learning_objectives (courses_id,text) VALUES (8,""Recognize how to get help with coding in a way that is accurate and efficient while demonstrating how to be a good citizen in online forums"");"
8,"Implement methods for acquiring electronic data in many formats: csv, flat files, json, from APIs, and using web scraping, and loading it into Python","INSERT INTO learning_objectives (courses_id,text) VALUES (8,""Implement methods for acquiring electronic data in many formats: csv, flat files, json, from APIs, and using web scraping, and loading it into Python"");"
8,"Understand the purpose, typology, and language of relational databases","INSERT INTO learning_objectives (courses_id,text) VALUES (8,""Understand the purpose, typology, and language of relational databases"");"
8,"Understand the purpose, typology, and language of NoSQL databases","INSERT INTO learning_objectives (courses_id,text) VALUES (8,""Understand the purpose, typology, and language of NoSQL databases"");"
8,"Understand how to implement databases Python: SQLite, PostgreSQL, MySQL, MongoDB","INSERT INTO learning_objectives (courses_id,text) VALUES (8,""Understand how to implement databases Python: SQLite, PostgreSQL, MySQL, MongoDB"");"
8,Understand how to query databases with SQL ,"INSERT INTO learning_objectives (courses_id,text) VALUES (8,""Understand how to query databases with SQL "");"
8,Understand how to query databases with the MongoDB query language,"INSERT INTO learning_objectives (courses_id,text) VALUES (8,""Understand how to query databases with the MongoDB query language"");"
8,"Employ methods for wrangling, joining, and aggregating data using pandas","INSERT INTO learning_objectives (courses_id,text) VALUES (8,""Employ methods for wrangling, joining, and aggregating data using pandas"");"
8,"Understand relationships in data using summary statistics, hypothesis tests, measurement models","INSERT INTO learning_objectives (courses_id,text) VALUES (8,""Understand relationships in data using summary statistics, hypothesis tests, measurement models"");"
8,"Understand relationships in data using visualization with matplotlib, seaborn, plotly","INSERT INTO learning_objectives (courses_id,text) VALUES (8,""Understand relationships in data using visualization with matplotlib, seaborn, plotly"");"
9,Identify situations that demand ethical responses involving data science,"INSERT INTO learning_objectives (courses_id,text) VALUES (9,""Identify situations that demand ethical responses involving data science"");"
9,Develop the skills to respond creatively to critical ethics issues in data science,"INSERT INTO learning_objectives (courses_id,text) VALUES (9,""Develop the skills to respond creatively to critical ethics issues in data science"");"
17,"Build knowledge about the education and training needed for a particular job, career path, and entry into the data science profession","INSERT INTO learning_objectives (courses_id,text) VALUES (17,""Build knowledge about the education and training needed for a particular job, career path, and entry into the data science profession"");"
17,"Observe, receive information, and ask questions to acquire knowledge and awareness of data science professions","INSERT INTO learning_objectives (courses_id,text) VALUES (17,""Observe, receive information, and ask questions to acquire knowledge and awareness of data science professions"");"
17,Relate academics with the world of work by connection data science careers to program coursework,"INSERT INTO learning_objectives (courses_id,text) VALUES (17,""Relate academics with the world of work by connection data science careers to program coursework"");"
10,Collect and manage data to devise solutions to assigned research projects,"INSERT INTO learning_objectives (courses_id,text) VALUES (10,""Collect and manage data to devise solutions to assigned research projects"");"
10,"Select, apply, and evaluate models, tools, and methods to address research projects","INSERT INTO learning_objectives (courses_id,text) VALUES (10,""Select, apply, and evaluate models, tools, and methods to address research projects"");"
10,Interpret and assess results and evaluate the limitations of research findings,"INSERT INTO learning_objectives (courses_id,text) VALUES (10,""Interpret and assess results and evaluate the limitations of research findings"");"
10,"Resolve group work allocation, leadership, and cooperation issues","INSERT INTO learning_objectives (courses_id,text) VALUES (10,""Resolve group work allocation, leadership, and cooperation issues"");"
18,Identify situations that demand ethical responses involving data science,"INSERT INTO learning_objectives (courses_id,text) VALUES (18,""Identify situations that demand ethical responses involving data science"");"
18,Develop the skills to respond creatively to critical ethics issues in data science,"INSERT INTO learning_objectives (courses_id,text) VALUES (18,""Develop the skills to respond creatively to critical ethics issues in data science"");"
11,Collect and manage data to devise solutions to assigned research projects,"INSERT INTO learning_objectives (courses_id,text) VALUES (11,""Collect and manage data to devise solutions to assigned research projects"");"
11,"Select, apply, and evaluate models, tools, and methods to address research projects","INSERT INTO learning_objectives (courses_id,text) VALUES (11,""Select, apply, and evaluate models, tools, and methods to address research projects"");"
11,Interpret and assess results and evaluate the limitations of research findings,"INSERT INTO learning_objectives (courses_id,text) VALUES (11,""Interpret and assess results and evaluate the limitations of research findings"");"
11,"Resolve group work allocation, leadership, and cooperation issues","INSERT INTO learning_objectives (courses_id,text) VALUES (11,""Resolve group work allocation, leadership, and cooperation issues"");"
16,Use regression analysis to answer questions of interest in a wide variety of application environments,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Use regression analysis to answer questions of interest in a wide variety of application environments"");"
16,Determine the most appropriate regression model for a given data set,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Determine the most appropriate regression model for a given data set"");"
16,Identify the assumptions and limitations of a given regression model,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Identify the assumptions and limitations of a given regression model"");"
16,Diagnose and remedy common problems with the regression model found in real data,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Diagnose and remedy common problems with the regression model found in real data"");"
16,Work with various data structures and primitive data types in the R programming language,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Work with various data structures and primitive data types in the R programming language"");"
16,"Process R dataframes into the forms necessary for subsequent analysis including subsetting by rows, columns, condition, changing column names, removing missing values, combining dataframes with vectors","INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Process R dataframes into the forms necessary for subsequent analysis including subsetting by rows, columns, condition, changing column names, removing missing values, combining dataframes with vectors"");"
16,Use the appropriate numerical and graphical summaries based on the question of interest and type of data,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Use the appropriate numerical and graphical summaries based on the question of interest and type of data"");"
16,Use the statistical software R for regression analysis,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Use the statistical software R for regression analysis"");"
16,State appropriate context-specific conclusions from an analysis,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""State appropriate context-specific conclusions from an analysis"");"
16,"Present and discuss orally and in writing, statistical ideas, methods, and results to lay and professional audiences","INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Present and discuss orally and in writing, statistical ideas, methods, and results to lay and professional audiences"");"
16,Work in teams to demonstrate the skills of a professional statistician in organizing and managing projects,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Work in teams to demonstrate the skills of a professional statistician in organizing and managing projects"");"
16,Describe the mathematical framework of regression models,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Describe the mathematical framework of regression models"");"
16,Describe the importance of assessing the assumptions and limitations for a given regression model,"INSERT INTO learning_objectives (courses_id,text) VALUES (16,""Describe the importance of assessing the assumptions and limitations for a given regression model"");"
12,Build classification and regression models for a given data set using R statistical software,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Build classification and regression models for a given data set using R statistical software"");"
12,Explain the statistical theory used in data mining that affects how each type of model makes predictions,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Explain the statistical theory used in data mining that affects how each type of model makes predictions"");"
12,"For a given data set and model, determine the optimal algorithmic parameters to customize the results of the model based on practical goals","INSERT INTO learning_objectives (courses_id,text) VALUES (12,""For a given data set and model, determine the optimal algorithmic parameters to customize the results of the model based on practical goals"");"
12,"Evaluate the performance of a model in terms of various factors such as accuracy, computational cost, interpretability, and practical requirements","INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Evaluate the performance of a model in terms of various factors such as accuracy, computational cost, interpretability, and practical requirements"");"
12,Determine the most appropriate algorithm for a given data set based on the needs of the user,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Determine the most appropriate algorithm for a given data set based on the needs of the user"");"
12,Use visualization techniques to help users understand and interpret the data mining results,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Use visualization techniques to help users understand and interpret the data mining results"");"
12,Implement KNN regression and classification models in R,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Implement KNN regression and classification models in R"");"
12,Build linear and nonlinear regression models in R,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Build linear and nonlinear regression models in R"");"
12,Evaluate bias-variance tradeoff of linear regression method,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Evaluate bias-variance tradeoff of linear regression method"");"
12,"Implement LR, LDA, and QDA classification in R","INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Implement LR, LDA, and QDA classification in R"");"
12,Implement cross-validation,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Implement cross-validation"");"
12,Understand the theory behind principal components,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Understand the theory behind principal components"");"
12,Use principal components transformation to visualize data,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Use principal components transformation to visualize data"");"
12,"Use regularization (shrinkage, PCA, lasso) to improve regression accuracy","INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Use regularization (shrinkage, PCA, lasso) to improve regression accuracy"");"
12,Build a CART in R and use for both classification and regression,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Build a CART in R and use for both classification and regression"");"
12,Build a random forest (RF) for classification and for regression in R,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Build a random forest (RF) for classification and for regression in R"");"
12,Use an SVM for classification and regression in R,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Use an SVM for classification and regression in R"");"
12,Use K-Means clustering to explore new data in R,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Use K-Means clustering to explore new data in R"");"
12,Use hierarchical clustering to create and evaluate clusters in R,"INSERT INTO learning_objectives (courses_id,text) VALUES (12,""Use hierarchical clustering to create and evaluate clusters in R"");"
13,Probability review,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Probability review"");"
13,Use the elements of Bayes theorem in problem solving,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Use the elements of Bayes theorem in problem solving"");"
13,Use univariate conjugate priors to analytically obtain the posterior distribution,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Use univariate conjugate priors to analytically obtain the posterior distribution"");"
13,Use multivariate conjugate priors to analytically obtain the posterior distribution,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Use multivariate conjugate priors to analytically obtain the posterior distribution"");"
13,Use non-informative priors to analytically obtain the posterior distribution,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Use non-informative priors to analytically obtain the posterior distribution"");"
13,Formulate real problems using the fundamentals of statistical decision theory,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Formulate real problems using the fundamentals of statistical decision theory"");"
13,Apply the principles of statistical decision theory to obtain the optimal solutions to classification problems,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply the principles of statistical decision theory to obtain the optimal solutions to classification problems"");"
13,Develop approximate solutions when the required assumptions for optimality in classification are not met,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Develop approximate solutions when the required assumptions for optimality in classification are not met"");"
13,Apply the principles of statistical decision theory to obtain the optimal solutions to regression problems,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply the principles of statistical decision theory to obtain the optimal solutions to regression problems"");"
13,Formulate a graphical representation of a joint distribution using nodes to represent conditional probabilities,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Formulate a graphical representation of a joint distribution using nodes to represent conditional probabilities"");"
13,Display Bayesian models using graphs,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Display Bayesian models using graphs"");"
13,Represent generative models using graphs,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Represent generative models using graphs"");"
13,Apply graphical methods to real problems in text analysis,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply graphical methods to real problems in text analysis"");"
13,Apply simple sampling methods to approximate distributions,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply simple sampling methods to approximate distributions"");"
13,Devise Markov models for real problems with conditional dependence,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Devise Markov models for real problems with conditional dependence"");"
13,Formulate the Markov Chain Monte Carlo (MCMC) approaches to sampling,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Formulate the Markov Chain Monte Carlo (MCMC) approaches to sampling"");"
13,Apply MCMC to real and complex problems in Bayesian inference,"INSERT INTO learning_objectives (courses_id,text) VALUES (13,""Apply MCMC to real and complex problems in Bayesian inference"");"
